[2J[HCONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT   MEM %     NET I/O   BLOCK I/O   PIDS
d65a38e52d82   redis_test_200   189.55%   110.5MiB / 15.64GiB   0.69%     736B / 0B   0B / 0B     6
d65a38e52d82   redis_test_200   187.77%   135.1MiB / 15.64GiB   0.84%     736B / 0B   0B / 0B     6
d65a38e52d82   redis_test_200   187.77%   135.1MiB / 15.64GiB   0.84%     736B / 0B   0B / 0B     6
d65a38e52d82   redis_test_200   168.44%   154.2MiB / 15.64GiB   0.96%     736B / 0B   0B / 0B     6
d65a38e52d82   redis_test_200   168.44%   154.2MiB / 15.64GiB   0.96%     736B / 0B   0B / 0B     6
d65a38e52d82   redis_test_200   191.28%   181.4MiB / 15.64GiB   1.13%     736B / 0B   0B / 0B     6
d65a38e52d82   redis_test_200   191.28%   181.4MiB / 15.64GiB   1.13%     736B / 0B   0B / 0B     6
d65a38e52d82   redis_test_200   177.12%   194.8MiB / 15.64GiB   1.22%     806B / 0B   0B / 0B     6
d65a38e52d82   redis_test_200   177.12%   194.8MiB / 15.64GiB   1.22%     806B / 0B   0B / 0B     6
d65a38e52d82   redis_test_200   176.30%   194.8MiB / 15.64GiB   1.22%     806B / 0B   0B / 0B     6
d65a38e52d82   redis_test_200   176.30%   194.8MiB / 15.64GiB   1.22%     806B / 0B   0B / 0B     6
d65a38e52d82   redis_test_200   184.35%   194.7MiB / 15.64GiB   1.22%     806B / 0B   0B / 0B     6
d65a38e52d82   redis_test_200   184.35%   194.7MiB / 15.64GiB   1.22%     806B / 0B   0B / 0B     6
d65a38e52d82   redis_test_200   183.07%   194.7MiB / 15.64GiB   1.22%     806B / 0B   0B / 0B     6
d65a38e52d82   redis_test_200   183.07%   194.7MiB / 15.64GiB   1.22%     806B / 0B   0B / 0B     6
d65a38e52d82   redis_test_200   183.67%   190.8MiB / 15.64GiB   1.19%     806B / 0B   0B / 0B     6
d65a38e52d82   redis_test_200   183.67%   190.8MiB / 15.64GiB   1.19%     806B / 0B   0B / 0B     6
d65a38e52d82   redis_test_200   182.59%   190.9MiB / 15.64GiB   1.19%     806B / 0B   0B / 0B     6
d65a38e52d82   redis_test_200   182.59%   190.9MiB / 15.64GiB   1.19%     806B / 0B   0B / 0B     6
d65a38e52d82   redis_test_200   175.44%   190.9MiB / 15.64GiB   1.19%     806B / 0B   0B / 0B     6
d65a38e52d82   redis_test_200   175.44%   190.9MiB / 15.64GiB   1.19%     806B / 0B   0B / 0B     6
d65a38e52d82   redis_test_200   138.57%   189MiB / 15.64GiB   1.18%     806B / 0B   0B / 0B     5

ab3c5c94a87a   redis_test_500   0.02%     1004KiB / 15.64GiB   0.01%     200B / 0B   0B / 0B     1
ab3c5c94a87a   redis_test_500   0.02%     1004KiB / 15.64GiB   0.01%     200B / 0B   0B / 0B     1
ab3c5c94a87a   redis_test_500   146.68%   68.92MiB / 15.64GiB   0.43%     486B / 0B   0B / 0B     6
ab3c5c94a87a   redis_test_500   146.68%   68.92MiB / 15.64GiB   0.43%     486B / 0B   0B / 0B     6
ab3c5c94a87a   redis_test_500   190.89%   143.1MiB / 15.64GiB   0.89%     646B / 0B   0B / 0B     6
ab3c5c94a87a   redis_test_500   190.89%   143.1MiB / 15.64GiB   0.89%     646B / 0B   0B / 0B     6
ab3c5c94a87a   redis_test_500   191.77%   209.3MiB / 15.64GiB   1.31%     736B / 0B   0B / 0B     6
ab3c5c94a87a   redis_test_500   191.77%   209.3MiB / 15.64GiB   1.31%     736B / 0B   0B / 0B     6
ab3c5c94a87a   redis_test_500   186.99%   260.5MiB / 15.64GiB   1.63%     736B / 0B   0B / 0B     6
ab3c5c94a87a   redis_test_500   186.99%   260.5MiB / 15.64GiB   1.63%     736B / 0B   0B / 0B     6
ab3c5c94a87a   redis_test_500   191.17%   306.1MiB / 15.64GiB   1.91%     736B / 0B   0B / 0B     6
ab3c5c94a87a   redis_test_500   191.17%   306.1MiB / 15.64GiB   1.91%     736B / 0B   0B / 0B     6
ab3c5c94a87a   redis_test_500   188.35%   350.4MiB / 15.64GiB   2.19%     806B / 0B   0B / 0B     6
ab3c5c94a87a   redis_test_500   188.35%   350.4MiB / 15.64GiB   2.19%     806B / 0B   0B / 0B     6
ab3c5c94a87a   redis_test_500   179.54%   378.5MiB / 15.64GiB   2.36%     806B / 0B   0B / 0B     6
ab3c5c94a87a   redis_test_500   179.54%   378.5MiB / 15.64GiB   2.36%     806B / 0B   0B / 0B     6
ab3c5c94a87a   redis_test_500   182.38%   378.5MiB / 15.64GiB   2.36%     806B / 0B   0B / 0B     6
ab3c5c94a87a   redis_test_500   182.38%   378.5MiB / 15.64GiB   2.36%     806B / 0B   0B / 0B     6
ab3c5c94a87a   redis_test_500   177.48%   378.6MiB / 15.64GiB   2.36%     806B / 0B   0B / 0B     6
ab3c5c94a87a   redis_test_500   177.48%   378.6MiB / 15.64GiB   2.36%     806B / 0B   0B / 0B     6
ab3c5c94a87a   redis_test_500   183.55%   378.5MiB / 15.64GiB   2.36%     806B / 0B   0B / 0B     6
ab3c5c94a87a   redis_test_500   183.55%   378.5MiB / 15.64GiB   2.36%     806B / 0B   0B / 0B     6
ab3c5c94a87a   redis_test_500   179.40%   378.5MiB / 15.64GiB   2.36%     806B / 0B   0B / 0B     6
ab3c5c94a87a   redis_test_500   179.40%   378.5MiB / 15.64GiB   2.36%     806B / 0B   0B / 0B     6
ab3c5c94a87a   redis_test_500   177.37%   378.5MiB / 15.64GiB   2.36%     806B / 0B   0B / 0B     6
ab3c5c94a87a   redis_test_500   177.37%   378.5MiB / 15.64GiB   2.36%     806B / 0B   0B / 0B     6
ab3c5c94a87a   redis_test_500   183.44%   378.4MiB / 15.64GiB   2.36%     806B / 0B   0B / 0B     6
ab3c5c94a87a   redis_test_500   183.44%   378.4MiB / 15.64GiB   2.36%     806B / 0B   0B / 0B     6
ab3c5c94a87a   redis_test_500   163.26%   371.8MiB / 15.64GiB   2.32%     876B / 0B   0B / 0B     5
ab3c5c94a87a   redis_test_500   163.26%   371.8MiB / 15.64GiB   2.32%     876B / 0B   0B / 0B     5
ab3c5c94a87a   redis_test_500   163.26%   371.8MiB / 15.64GiB   2.32%     876B / 0B   0B / 0B     5
ab3c5c94a87a   redis_test_500   25.15%    374MiB / 15.64GiB   2.34%     876B / 0B   0B / 67.1MB   5
ab3c5c94a87a   redis_test_500   25.15%    374MiB / 15.64GiB   2.34%     876B / 0B   0B / 67.1MB   5
ab3c5c94a87a   redis_test_500   77.11%    378MiB / 15.64GiB   2.36%     876B / 0B   0B / 201MB   5
ab3c5c94a87a   redis_test_500   77.11%    378MiB / 15.64GiB   2.36%     876B / 0B   0B / 201MB   5
ab3c5c94a87a   redis_test_500   47.63%    380.4MiB / 15.64GiB   2.38%     876B / 0B   0B / 268MB   5

6617d5cc82a4   redis_test_1000   0.02%     516KiB / 15.64GiB   0.00%     200B / 0B   0B / 0B     1
6617d5cc82a4   redis_test_1000   0.02%     516KiB / 15.64GiB   0.00%     200B / 0B   0B / 0B     1
6617d5cc82a4   redis_test_1000   152.99%   119.1MiB / 15.64GiB   0.74%     486B / 0B   0B / 0B     6
6617d5cc82a4   redis_test_1000   152.99%   119.1MiB / 15.64GiB   0.74%     486B / 0B   0B / 0B     6
6617d5cc82a4   redis_test_1000   196.79%   253MiB / 15.64GiB   1.58%     736B / 0B   0B / 0B     6
6617d5cc82a4   redis_test_1000   196.79%   253MiB / 15.64GiB   1.58%     736B / 0B   0B / 0B     6
6617d5cc82a4   redis_test_1000   192.64%   371.4MiB / 15.64GiB   2.32%     736B / 0B   0B / 0B     6
6617d5cc82a4   redis_test_1000   192.64%   371.4MiB / 15.64GiB   2.32%     736B / 0B   0B / 0B     6
6617d5cc82a4   redis_test_1000   192.29%   468.8MiB / 15.64GiB   2.93%     736B / 0B   0B / 0B     6
6617d5cc82a4   redis_test_1000   192.29%   468.8MiB / 15.64GiB   2.93%     736B / 0B   0B / 0B     6
6617d5cc82a4   redis_test_1000   193.65%   554MiB / 15.64GiB   3.46%     736B / 0B   0B / 0B     6
6617d5cc82a4   redis_test_1000   193.65%   554MiB / 15.64GiB   3.46%     736B / 0B   0B / 0B     6
6617d5cc82a4   redis_test_1000   190.87%   633.1MiB / 15.64GiB   3.95%     806B / 0B   0B / 0B     6
6617d5cc82a4   redis_test_1000   190.87%   633.1MiB / 15.64GiB   3.95%     806B / 0B   0B / 0B     6
6617d5cc82a4   redis_test_1000   192.87%   696.7MiB / 15.64GiB   4.35%     806B / 0B   0B / 0B     6
6617d5cc82a4   redis_test_1000   192.87%   696.7MiB / 15.64GiB   4.35%     806B / 0B   0B / 0B     6
6617d5cc82a4   redis_test_1000   171.38%   697.8MiB / 15.64GiB   4.36%     806B / 0B   0B / 0B     6
6617d5cc82a4   redis_test_1000   171.38%   697.8MiB / 15.64GiB   4.36%     806B / 0B   0B / 0B     6
6617d5cc82a4   redis_test_1000   183.46%   698MiB / 15.64GiB   4.36%     806B / 0B   0B / 0B     6
6617d5cc82a4   redis_test_1000   183.46%   698MiB / 15.64GiB   4.36%     806B / 0B   0B / 0B     6
6617d5cc82a4   redis_test_1000   173.11%   698MiB / 15.64GiB   4.36%     806B / 0B   0B / 0B     6
6617d5cc82a4   redis_test_1000   173.11%   698MiB / 15.64GiB   4.36%     806B / 0B   0B / 0B     6
6617d5cc82a4   redis_test_1000   181.30%   698.1MiB / 15.64GiB   4.36%     806B / 0B   0B / 0B     6
6617d5cc82a4   redis_test_1000   181.30%   698.1MiB / 15.64GiB   4.36%     806B / 0B   0B / 0B     6
6617d5cc82a4   redis_test_1000   184.39%   698.1MiB / 15.64GiB   4.36%     806B / 0B   0B / 0B     6
